date,symbol,open,high,low,close,Volume.USD,Volume.BTC
2019-06-24,BTC/USD,10913,11136,10560,11069,156623140.43,14398.4
2019-06-25,BTC/USD,11069,11780,10802,11737,248078686.85,21849.5
2019-06-26,BTC/USD,11737,13764,11684.45,12876,701635264.58,55228.58
2019-06-27,BTC/USD,12876,13242,10388,11198.92,551287259.08,47596.23
2019-06-28,BTC/USD,11198.92,12417,10799,12338,372918699.74,31980.24
2019-06-29,BTC/USD,12338,12338,11354,11920,241655634.91,20428.97
2019-06-30,BTC/USD,11920,12234,10668,10805,217071428.5,19105.14
2019-07-01,BTC/USD,10805,11231,10088,10640,264785513.68,24901.8
2019-07-02,BTC/USD,10640,10965,9728.2,10885,296703726.19,28814.96
2019-07-03,BTC/USD,10885,12025,10876,11982,319028449.59,28068.68
2019-07-04,BTC/USD,11982,12065,11055,11166,231381539.87,19832.62
2019-07-05,BTC/USD,11166,11452,10776,11003,182183753.94,16361.64
2019-07-06,BTC/USD,11003,11720,10961,11281,139247561.64,12190.19
2019-07-07,BTC/USD,11281,11620,11110,11485,95523239.34,8413.4
2019-07-08,BTC/USD,11485,12383,11310,12301,212539958.43,17835.8
2019-07-09,BTC/USD,12301,12814.65,12102,12558,239135894.38,19150.95
2019-07-10,BTC/USD,12558,13174,11529,12093,449543216.33,36052.94
2019-07-11,BTC/USD,12093,12093.2,10970,11340,245621458.57,21396.97
2019-07-12,BTC/USD,11340,11900,11099,11765,141591539.35,12240.91
2019-07-13,BTC/USD,11765,11803,10805,11312,165489860.63,14722.69
2019-07-14,BTC/USD,11312,11400,10122,10204,239150120.25,22495.62
2019-07-15,BTC/USD,10204,11058,9880,10820.88,219582406.27,21113.53
2019-07-16,BTC/USD,10820.88,11011,9352,9421,261093926.2,26170.59
2019-07-17,BTC/USD,9421,9975,9084.7,9682.6,220864914.21,23126
2019-07-18,BTC/USD,9682.6,10752,9260.6,10622,289145615.25,28827.03
2019-07-19,BTC/USD,10622,10760,10118,10518,137223069.6,13153.62
2019-07-20,BTC/USD,10518,11098,10370,10740,130052374.17,12127.9
2019-07-21,BTC/USD,10740,10812,10298,10569.43,86752835.04,8242.29
2019-07-22,BTC/USD,10569.43,10690,10052,10328,113040838.98,10902.46
2019-07-23,BTC/USD,10328,10330.88,9820,9859,97861761.48,9763.95
2019-07-24,BTC/USD,9859,9922.55,9534.05,9768.97,111391750.89,11470.61
2019-07-25,BTC/USD,9768.97,10188,9733.3,9890.2,92225361.66,9217.95
2019-07-26,BTC/USD,9890.2,9899,9650.2,9840.3,50005736,5115.75
2019-07-27,BTC/USD,9840.3,10199,9296,9469,113316068.65,11772.57
2019-07-28,BTC/USD,9469,9628,9101.4,9519,72831762.35,7753.79
2019-07-29,BTC/USD,9519,9738.3,9376.7,9507,54373366.7,5695.08
2019-07-30,BTC/USD,9507,9747.77,9380,9589,49660617.92,5187.74
2019-07-31,BTC/USD,9589,10120,9575.49,10088,78698614.89,7939.34
2019-08-01,BTC/USD,10088,10500,9875,10400,78461388.47,7699.17
2019-08-02,BTC/USD,10400,10659,10331,10520,88535450.81,8439.81
2019-08-03,BTC/USD,10520,10917,10506,10822,79989850.31,7421.37
2019-08-04,BTC/USD,10822,11060,10514,10973,100471241.04,9277.61
2019-08-05,BTC/USD,10973,11939,10973,11824,187498288.43,16130.53
2019-08-06,BTC/USD,11824,12325,11249,11472,228029593.89,19339.45
2019-08-07,BTC/USD,11472,12153,11385,11999,161208999.31,13658.66
2019-08-08,BTC/USD,11999,12130,11550,12050,130505812.98,10983.14
2019-08-09,BTC/USD,12050,12097,11703,11891,92618299.64,7800.63
2019-08-10,BTC/USD,11891,12011,11208,11311.4,103844660.05,9023.79
2019-08-11,BTC/USD,11311.4,11615,11129,11565.36,62613477.97,5494.67
2019-08-12,BTC/USD,11565.36,11585,11260,11404,36535469.72,3201.4
2019-08-13,BTC/USD,11404,11468,10800,10904.01,99766249.08,9003.7
2019-08-14,BTC/USD,10904.01,10909,9966,10064.56,151138124.17,14507.72
2019-08-15,BTC/USD,10064.56,10471,9522,10324.27,173592397.45,17368.17
2019-08-16,BTC/USD,10324.27,10568,9777,10369,131212394.69,12884.23
2019-08-17,BTC/USD,10369,10494.7,10004,10228,50071932.98,4884.94
2019-08-18,BTC/USD,10228,10533,10086,10332.19,40412561.56,3901.71
2019-08-19,BTC/USD,10332.19,10964,10280,10938,78812006.23,7375.2
2019-08-20,BTC/USD,10938,10993,10584,10792.14,62698017.44,5822.41
2019-08-21,BTC/USD,10792.14,10825,9824,10146.95,119810637.9,11788.84
2019-08-22,BTC/USD,10146.95,10255,9787,10117,65570509.27,6533
2019-08-23,BTC/USD,10117,10466,10047,10407.47,65871016.94,6390.94
2019-08-24,BTC/USD,10407.47,10427,9893.8,10154,54613228.53,5409.23
2019-08-25,BTC/USD,10154,10350,9805.8,10132,52473792.44,5207.28
2019-08-26,BTC/USD,10132,10675,10132,10377,93364331.4,8979.02
2019-08-27,BTC/USD,10377,10395,10021,10184,45885834.81,4518.47
2019-08-28,BTC/USD,10184,10370,9570,9727.4,103053772.46,10405.91
2019-08-29,BTC/USD,9727.4,9729.7,9358.2,9509.4,67458584.74,7081.01
2019-08-30,BTC/USD,9509.4,9725,9380.4,9601,35930363.43,3754.35
2019-08-31,BTC/USD,9601,9715,9471.9,9623.9,26412208.68,2753.32
2019-09-01,BTC/USD,9623.9,9868,9555,9779.1,27860593.51,2873.98
2019-09-02,BTC/USD,9779.1,10474,9754.57,10388,112026827.18,11134.48
2019-09-03,BTC/USD,10388,10766,10291,10641,113482416.18,10736.11
2019-09-04,BTC/USD,10641,10849,10410,10590,65969969.9,6224.41
2019-09-05,BTC/USD,10590,10663,10481.64,10582.93,31835471.34,3011.66
2019-09-06,BTC/USD,10582.93,10933,10208,10305,119675518.91,11275.71
2019-09-07,BTC/USD,10305,10582,10305,10489,35295931.83,3374.3
2019-09-08,BTC/USD,10489,10599,10241.91,10415,36530778.68,3505.5
2019-09-09,BTC/USD,10415,10557,10118,10317,53586138.35,5201.53
2019-09-10,BTC/USD,10317,10399,9959,10121,42722054.03,4211.66
2019-09-11,BTC/USD,10121,10300,9814,10175,43782091.22,4348.62
2019-09-12,BTC/USD,10175,10488,10064,10452,45313964.9,4401.51
2019-09-13,BTC/USD,10452,10475,10155,10374,46417698.48,4501.19
2019-09-14,BTC/USD,10374,10488,10255,10380,32801466.46,3155.79
2019-09-15,BTC/USD,10380,10403,10275,10321.42,19486372.51,1885.62
2019-09-16,BTC/USD,10321.42,10404,10091,10290,56380470.07,5515.26
2019-09-17,BTC/USD,10290,10308,10163,10214.86,30156486.97,2944.28
2019-09-18,BTC/USD,10214.86,10278,10111,10185,34080717.87,3339.09
2019-09-19,BTC/USD,10185,10487,9655,10301,97965321.95,9766.07
2019-09-20,BTC/USD,10301,10340,10104,10197,25660191.4,2513.7
2019-09-21,BTC/USD,10197,10199,9942.9,10013,29943816.81,2979.88
2019-09-22,BTC/USD,10013,10105,9880.7,10055,27523592.55,2752.45
2019-09-23,BTC/USD,10055,10077,9610.3,9702.6,53969510.57,5486.04
2019-09-24,BTC/USD,9702.6,9795,8100,8538.7,307985233.97,34867.7
2019-09-25,BTC/USD,8538.7,8773.6,8262,8475.3,108207657.39,12765.89
2019-09-26,BTC/USD,8475.3,8493.07,7796.6,8105.9,125180468.71,15408.93
2019-09-27,BTC/USD,8105.9,8309.8,7906.3,8213.4,60208646.12,7469.15
2019-09-28,BTC/USD,8213.4,8390,8032.1,8238.2,44602497.95,5447.13
2019-09-29,BTC/USD,8238.2,8260.2,7930,8090,49454030.63,6143.56
2019-09-30,BTC/USD,8090,8385,7733.3,8331.14,87839295.32,10919.75
2019-10-01,BTC/USD,8331.14,8539.3,8228,8334.9,49049132.41,5835.9
2019-10-02,BTC/USD,8334.9,8420,8193,8414.88,28570950.97,3448.52
2019-10-03,BTC/USD,8414.88,8440,8084.1,8258,30623737.96,3716.19
2019-10-04,BTC/USD,8258,8264.9,8032.7,8170,24946287.9,3051.67
2019-10-05,BTC/USD,8170,8210.8,8040,8162.5,27021471.49,3327.26
2019-10-06,BTC/USD,8162.5,8183.24,7806.7,7882.9,46641948.11,5857.54
2019-10-07,BTC/USD,7882.9,8366.1,7793.2,8227,66182672.83,8149.21
2019-10-08,BTC/USD,8227,8362,8132.7,8205,28554980.24,3466.84
2019-10-09,BTC/USD,8205,8719.2,8146.56,8607.5,71132453.44,8392.43
2019-10-10,BTC/USD,8607.5,8683.9,8472,8596,37021789.83,4319.9
2019-10-11,BTC/USD,8596,8815.3,8253,8278.2,51418368.58,6077.91
2019-10-12,BTC/USD,8278.2,8423.7,8270.5,8319.6,14253650.56,1707.03
2019-10-13,BTC/USD,8319.6,8477.97,8160.4,8304.9,33731109.77,4042.57
2019-10-14,BTC/USD,8304.9,8428.2,8227.3,8369.96,21118580.4,2538.99
2019-10-15,BTC/USD,8369.96,8439.7,8100,8191.1,26906522.27,3259.77
2019-10-16,BTC/USD,8191.1,8204.3,7960,8016,57129477.97,7077.37
2019-10-17,BTC/USD,8016,8150.53,7949.3,8092.3,22650778.74,2810.71
2019-10-18,BTC/USD,8092.3,8135.11,7860,7987.3,42207934.67,5300.34
2019-10-19,BTC/USD,7987.3,8119.5,7927,7992.9,28124349.49,3510.69
2019-10-20,BTC/USD,7992.9,8337,7921.6,8260.7,39589830.08,4866.62
2019-10-21,BTC/USD,8260.7,8371.3,8181.8,8243.8,28229438.5,3418.39
