,btc,#BTC,ethereum,eth,bitcoin
2015-05-17,0.13387803105384868,0.16064559178743962,0.092566,0.18963916349809887,0.1617886503564485
2015-05-18,0.12946894247530505,0.14359023397761952,0.1812108695652174,0.24556880552813426,0.15643090379008748
2015-05-19,0.1327843171585793,0.1362125051419169,0.0831,0.27048882175226585,0.15869530607530608
2015-05-20,0.14208532648569333,0.14443110381616742,0.17183783783783782,0.22446763623620117,0.13987397417660577
2015-05-21,0.15796492146596858,0.16407924107142857,0.1280243243243243,0.20309958296097708,0.18023133581568537
2015-05-22,0.1419625699888018,0.14543397260273974,0.3225357142857143,0.3050708895949166,0.18456808199121524
2015-05-23,0.14691584917228695,0.16343099571734476,0.37176521739130436,0.24075396103896105,0.16319894395413745
2015-05-24,0.20778673319636043,0.1677055875576037,0.2938265306122449,0.14761145833333333,0.1400648726168382
2015-05-25,0.13720002731494127,0.14547034349298502,0.15127291666666667,0.20926117647058823,0.12216893745796907
2015-05-26,0.1656256170212766,0.19497342105263157,0.14626774193548386,0.18472559188275084,0.16165475343764818
2015-05-27,0.15667580324139893,0.1568366096079514,0.17474594594594595,0.3562126258714175,0.14652536817697562
2015-05-28,0.13951351186853317,0.1621627417519909,0.08655857142857143,0.1888975814931651,0.14598647922265867
2015-05-29,0.14249195685670263,0.16553143794423184,0.2316512195121951,0.21830854402789887,0.14702586767536002
2015-05-30,0.15477304347826087,0.1516886455331412,0.24298333333333333,0.19599743290548424,0.14227408158489976
2015-05-31,0.15687434252726107,0.17399251220835593,0.1721323529411765,0.18612732095490717,0.10246087846347607
2015-06-01,0.15786662183969877,0.1865297933685728,0.15079499999999998,0.24607872340425532,0.12392528572311114
2015-06-02,0.14681006165919283,0.15595498174230568,0.08693846153846153,0.28563814547473626,0.12316540436854155
2015-06-03,0.13701643674787203,0.16816965408805032,0.13850833333333334,0.18224552785923753,0.12119066636368801
2015-06-04,0.1547273721629751,0.17761654964894685,0.11634375,0.2127425179856115,0.12494996597482137
2015-06-05,0.14104976369196554,0.1516112668463612,0.06697037037037036,0.2828300586510264,0.11862689492325856
2015-06-06,0.15431085223789087,0.15723497840838987,-0.11492068965517241,0.26122698170731706,0.14254985002499584
2015-06-07,0.16341284916201118,0.1729847838616715,0.08765,0.18483373639661427,0.1467133381689233
2015-06-08,0.15115037282518642,0.15566503038803178,0.058262857142857144,0.24631463187325256,0.1508480799671689
2015-06-09,0.13789942611190817,0.1425341578327444,0.13724468085106384,0.25060218384966987,0.13306312219863176
2015-06-10,0.13899429452582884,0.14730208333333333,0.14737,0.21781786898839137,0.1354912925008885
2015-06-11,0.15141674783549783,0.14194789743589745,0.03892307692307693,0.19696510191476221,0.12443458863743517
2015-06-12,0.1633474214923653,0.16970689476412648,0.1335925925925926,0.2718315160955348,0.14042182818130097
2015-06-13,0.15007363858033054,0.14224663088849135,0.1535205882352941,0.31265634146341464,0.13381457018334836
2015-06-14,0.16242747406784414,0.1905033276931754,0.15555454545454545,0.2386353819139596,0.1300597921723301
2015-06-15,0.17420073606729758,0.195104513064133,0.11568055555555556,0.2680118233618234,0.14716654022157996
2015-06-16,0.10681577755410167,0.14217024463305042,0.13719375,0.2784742290748899,0.14001175341808586
2015-06-17,0.12411146944083225,0.1327308988764045,0.11936461538461539,0.2023188835586568,0.14267475105485233
2015-06-18,0.13505184511434512,0.14361785714285716,0.15877142857142856,0.20844060542797496,0.11928431682090365
2015-06-19,0.13746026058631922,0.1542212897107634,0.03244716981132075,0.22973566765578635,0.12925337239894763
2015-06-20,0.20341329952099182,0.20665802534318903,0.18731714285714285,0.2999581202487906,0.15006449280763212
2015-06-21,0.15568771564544914,0.15585296034763715,0.05076153846153846,0.3457591261451727,0.12166438234641827
2015-06-22,0.1211607133692584,0.14276223350253808,0.06586805555555555,0.31603819095477387,0.13066167600429135
2015-06-23,0.1402755,0.13872582025677604,0.15130263157894736,0.23621811497326203,0.13287158469945357
2015-06-24,0.13956572692095082,0.13330364485981308,0.07977142857142856,0.23406500840336134,0.10754259120078627
2015-06-25,0.17612177306941734,0.164348055028463,0.23990416666666667,0.23201977730646872,0.13794863777655877
2015-06-26,0.15296347374495095,0.13205428719008264,0.10050243902439024,0.29989306454982245,0.16755562204286112
2015-06-27,0.12914793296089386,0.12126160626836435,0.06723461538461538,0.3452648024485253,0.14565189975098403
2015-06-28,0.12239269085002707,0.10565681303757357,0.07663157894736843,0.27482726543704894,0.14739380177968703
2015-06-29,0.11421759092081507,0.10108560364464693,0.147096,0.2875078115313081,0.11260879181503586
2015-06-30,0.11701885285575993,0.11162750740584004,0.046708,0.2682181395348837,0.1185857540959977
2015-07-01,0.11083541720485662,0.09232126984126984,0.215892,0.271538441890166,0.09694605381402971
2015-07-02,0.10631143009037745,0.09314292929292929,0.19646764705882352,0.23415555555555556,0.0837029802890933
2015-07-03,0.11212288157553771,0.10084152298850575,0.19826000000000002,0.2725080577269994,0.06302357545211977
2015-07-04,0.13106418314819832,0.1054147279081378,0.19557142857142856,0.3266483508245877,0.10074487693953986
2015-07-05,0.1388280839231547,0.12374646017699115,0.036721875,0.1835011818181818,0.10819339345226427
2015-07-06,0.12464156896184182,0.13428677121029353,0.1770175,0.21249228971962617,0.10045537603881691
2015-07-07,0.14731989234729698,0.14824638226683395,0.135766,0.19947438563327033,0.09244967980295567
2015-07-08,0.17414129848579132,0.19104330400782013,0.20730967741935485,0.21872117988394585,0.09745594271594978
2015-07-09,0.1480692036179131,0.16376271371407786,0.09439411764705882,0.18920027700831024,0.10291287689403603
2015-07-10,0.13579812332439678,0.1666263518659558,0.0018379310344827562,0.1985103092783505,0.12844984441156965
2015-07-11,0.12741803196803198,0.1205737640936687,0.22737222222222223,0.19454255599472992,0.137068242306626
2015-07-12,0.1647432127218253,0.18976471077819393,0.2567,0.16379535175879398,0.11024287917393054
2015-07-13,0.12935719512195124,0.12449891846921797,0.1461684210526316,0.2823214002642008,0.07433205121532296
2015-07-14,0.13040419176706827,0.12131798304328426,0.06422222222222222,0.26776012759170653,0.09571700651222377
2015-07-15,0.12442476012169436,0.10637175298804781,0.16563181818181819,0.11509339351661879,0.13325092508340916
2015-07-16,0.16022622868605818,0.16470590598633988,0.21276111111111112,0.2089656755196305,0.12863086885327246
2015-07-17,0.13177501326259947,0.11319073756432248,0.25594198895027626,0.3710508718902581,0.1258616029394879
2015-07-18,0.12756654102638446,0.1126214641434263,0.25455283018867925,0.33494685418208736,0.12217400642005503
2015-07-19,0.13366400119796346,0.12922944362383063,0.051458333333333335,0.23910488940628638,0.14392733807328698
2015-07-20,0.15792891692954786,0.11690250797993616,0.0685351724137931,0.21897700578990903,0.15414781074671757
2015-07-21,0.134410196924737,0.11079612438035151,0.06755,0.2828132777421424,0.12521385683880362
2015-07-22,0.10561485995850622,0.10945869463869465,0.07105161290322581,0.16478516573679028,0.10269233249731279
2015-07-23,0.1458826451829473,0.14512587412587413,0.06502338709677419,0.2696248682170543,0.1294056200961012
2015-07-24,0.14694856596558317,0.1389726952436876,0.014780000000000008,0.2738034207525656,0.12706332847566307
2015-07-25,0.15187647694524495,0.15999530249110322,0.21578823529411767,0.28009440366972477,0.13755913978494624
2015-07-26,0.1527278343023256,0.14648948805460751,0.2559914285714286,0.2166325255102041,0.11644296463506396
2015-07-27,0.15284833710041976,0.1474864386792453,0.26077272727272727,0.22885809806835067,0.13443604366647846
2015-07-28,0.16166785079928953,0.15599107954545455,0.02847173913043478,0.25307248308386304,0.1519448719590269
2015-07-29,0.16113922400727493,0.15802332214765102,0.10881344537815126,0.1365151690821256,0.12319740369051473
2015-07-30,0.15512479191438763,0.1345850081477458,0.10863494623655914,0.2265822062552832,0.13337092578936782
2015-07-31,0.13685641917059846,0.1303772342427093,-0.0016051671732522817,0.27356543859649124,0.12092112142682629
2015-08-01,0.12605405071119358,0.10891653272101033,-0.051828132992327365,0.29728992862807296,-0.09130723944247972
2015-08-02,0.1329987630827783,0.14627518928363425,0.018805743243243245,0.2698605672461116,0.0851380718336484
2015-08-03,0.1389467067583047,0.13728284412955466,0.03096190476190476,0.2556611254851229,0.06493039242818398
2015-08-04,0.14372271126760564,0.1387169878296146,0.06305,0.2736380900705372,0.1355293575945856
2015-08-05,0.14962492298213187,0.15438628816282807,0.11414478260869565,0.23422675136116153,0.15024190030294685
2015-08-06,0.2526883785841157,0.14975005319148937,0.0784037037037037,0.2241742003146303,0.17071935891544118
2015-08-07,0.4031583013803681,0.13823501369863014,0.09271529411764706,0.26661975377728037,0.20154427408768705
2015-08-08,0.4157277644230769,0.16179925604463732,0.08296436170212766,0.25179037995149556,0.22971022206556221
2015-08-09,0.41109798443424467,0.15264301403294692,0.04550047393364929,0.20603341523341523,0.21738778296301456
2015-08-10,0.4077670971364402,0.16181397738951697,0.0819349593495935,0.23341271617497458,0.2339590985348395
2015-08-11,0.36130678927466486,0.15718106936416185,0.042706341463414635,0.3120045797413793,0.21846510992275697
2015-08-12,0.393460909603458,0.14197769270035732,0.03554439461883408,0.21895266211604095,0.2191080971128609
2015-08-13,0.3714543143297381,0.11251046452271568,0.16728909090909092,0.2547120910384068,0.1862630080583495
2015-08-14,0.3769044745252867,0.1169560101010101,0.1265550200803213,0.255669644012945,0.20878445546761787
2015-08-15,0.3993303662859394,0.14325388692579505,0.12250409836065573,0.2645022641509434,0.2090897376960519
2015-08-16,0.38396240819482025,0.11423192436040044,0.09763238095238096,0.19467385844748858,0.18396429522161586
2015-08-17,0.3814594819611471,0.10104792531120332,0.07910582524271845,0.23013658088235295,0.16726688042049934
2015-08-18,0.3332317214339059,0.08039924036896365,0.04218558139534884,0.27724423815620997,0.15924262389752206
2015-08-19,0.3449035463483146,0.07114139410187667,0.04042606382978723,0.1953392664092664,0.16027102192003248
2015-08-20,0.20445440917107585,0.07673980470993681,0.1072490909090909,0.151337721021611,0.1500550518134715
2015-08-21,0.2461065764925373,0.08667548209366391,0.1294536231884058,0.18052522452167122,0.19384150188968616
2015-08-22,0.377854413229727,0.07506714471968709,0.03943975903614458,0.20438992384299942,0.23773450379852845
2015-08-23,0.37898171035010525,0.0991619166148102,0.13069625,0.20004951690821257,0.25011310072027393
2015-08-24,0.3441822994932728,0.0585331256490135,0.10657333333333333,0.15000022346368716,0.2432457911626759
2015-08-25,0.3452734190976626,0.06779305926321409,0.08434054054054053,0.19447395833333334,0.26703969612986245
2015-08-26,0.36048387277829747,0.08257942139737992,0.12343865546218488,0.22801659028414298,0.28604957039640694
2015-08-27,0.36815146296296297,0.09374233226837062,0.0896157894736842,0.25202103174603174,0.2921160188575154
2015-08-28,0.364323754431797,0.0976813361611877,0.07422291666666667,0.22422966942148762,0.2954287979491075
2015-08-29,0.3887044228038142,0.12502674825174825,0.06470344827586207,0.2090594859241126,0.3179826071761417
2015-08-30,0.3755509823986901,0.09434596018735364,0.0425575,0.18788029375764995,0.33039012107088045
2015-08-31,0.34330756234915527,0.09644384694932782,0.28419756944444446,0.14238050231328486,0.27929839985855104
2015-09-01,0.3504775238095238,0.08343600844772968,0.2140173076923077,0.2552207676130389,0.24188120620842574
2015-09-02,0.33296258250825084,0.08884650184113625,0.14894126984126985,0.2063396930404869,0.2621154272151899
2015-09-03,0.35794383561643833,0.09226330532212886,0.14259435483870966,0.24335835786719007,0.2864642990654206
2015-09-04,0.37085953793980503,0.08728366394399066,0.1722217391304348,0.26061333775713336,0.2850614548319328
